CustomerID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Average_Order_Value,Recency_Days,Total_Spend
C116,50,142544,86,47,7985,12,375295
C117,46,129473,78,44,6559,4,288596
C118,24,25339,23,10,879,54,8790
C119,48,66732,53,28,3948,43,110544
C120,38,95443,79,39,7456,3,290784
C121,35,140010,74,42,4872,1,204624
C122,57,86551,90,56,5340,14,299040
C123,27,30381,35,9,1197,53,10773
C124,26,30654,23,3,1320,92,3960
C125,19,19971,24,11,1122,40,12342
C126,28,71573,69,23,4283,43,98509
C127,49,69247,57,24,3613,24,86712
C128,39,27894,49,2,2440,143,4880
C129,33,40320,50,17,2511,40,42687
C130,23,15087,33,9,1716,90,15444
C131,36,100340,79,43,8219,2,353417
C132,54,52337,70,30,4215,47,126450
C133,38,42521,62,17,4452,14,75684
C134,61,88643,72,28,5859,13,164052
C135,54,144607,99,43,8097,2,348171
C136,39,72757,27,8,1396,110,11168
C137,31,25561,39,6,552,41,3312
C138,55,72696,63,10,2903,41,29030
C139,23,30417,36,12,1405,147,16860
C140,40,146720,83,56,5247,8,293832
C141,48,113687,80,31,5817,6,180327
C142,51,57777,35,1,1431,112,1431
C143,43,112372,73,50,8715,14,435750
C144,35,30138,33,2,884,96,1768
C145,54,135338,90,53,4922,4,260866
C146,52,87172,99,43,8089,15,347827
C147,27,23783,50,4,1953,130,7812
C148,52,71792,87,51,5263,4,268413
C149,32,18849,40,4,1520,149,6080
C150,51,105838,83,55,8368,4,460240
C151,55,38958,34,4,2387,243,9548
C152,52,39575,53,23,3192,55,73416
C153,61,70336,79,44,9308,10,409552
C154,29,78529,44,8,1206,175,9648
C155,49,62176,22,4,1671,188,6684
C156,52,61920,46,20,3737,50,74740
C157,44,39936,41,1,758,218,758
C158,62,83154,97,53,5316,9,281748
C159,20,38894,36,3,653,210,1959
C160,45,122098,90,30,7191,14,215730
C161,40,83956,44,1,1764,107,1764
C162,45,53833,52,12,3577,11,42924
C163,32,20451,42,6,559,35,3354
C164,60,77355,79,47,7570,7,355790
C165,32,69810,58,28,2537,15,71036
C166,27,74943,57,29,2786,36,80794
C167,32,65221,65,18,3682,21,66276
C168,32,24425,41,10,823,39,8230
C169,42,59210,50,7,1913,154,13391
C170,39,46111,34,8,718,150,5744
C171,56,67049,46,5,1932,165,9660
C172,30,23994,20,11,600,146,6600
C173,38,50162,48,6,948,138,5688
C174,56,87927,90,31,9640,11,298840
C175,27,29444,21,11,1247,123,13717
C176,27,54340,55,23,2519,17,57937
C177,50,70350,56,26,3855,22,100230
C178,33,66578,70,19,3187,56,60553
C179,32,17467,24,5,1313,138,6565
C180,37,121717,70,41,8895,2,364695
C181,43,54362,47,7,2184,185,15288
C182,25,30449,20,11,1649,71,18139
C183,45,39142,65,24,3037,46,72888
C184,27,38320,12,1,1123,216,1123
C185,21,22693,37,4,1295,88,5180
C186,56,140804,83,34,7898,11,268532
C187,33,28373,28,2,1258,57,2516
C188,48,50947,33,2,1904,184,3808
C189,36,122184,78,37,5500,14,203500
C190,25,47801,50,1,603,175,603
C191,29,72000,51,12,4070,18,48840
C192,51,50269,55,14,4241,5,59374
C193,62,88964,74,59,6553,13,386627
C194,28,36689,49,10,3267,55,32670
C195,43,56218,45,15,2886,8,43290
C196,48,62588,61,13,2060,35,26780
C197,43,87271,47,2,1425,218,2850
C198,55,37841,68,26,3035,34,78910
C199,19,30695,32,8,721,92,5768
C200,24,30589,30,3,634,122,1902
C201,54,146724,87,45,7620,10,342900
C202,49,136263,89,52,5312,13,276224
C203,35,22045,33,9,967,82,8703
C204,61,129441,82,51,5278,6,269178
C205,40,53408,33,3,1906,211,5718
C206,20,17797,22,8,697,125,5576
C207,60,87054,87,28,9304,9,260512
C208,56,86021,83,47,9950,13,467650
C209,23,57700,48,5,1220,116,6100
C210,29,66600,52,13,3234,59,42042
C211,38,106512,88,39,8015,14,312585
C212,26,15948,25,6,1132,147,6792
C213,46,70800,75,34,9139,11,310726
C214,24,38595,50,1,687,225,687
C215,37,62514,59,20,2444,28,48880
C216,58,112517,94,30,4930,3,147900
C217,49,38261,66,12,2914,33,34968
C218,51,77939,36,5,941,221,4705
C219,29,29087,23,6,1714,92,10284
C220,36,98903,82,28,4562,4,127736
C221,65,97686,94,33,6593,5,217569
C222,38,71013,85,52,5939,3,308828
C223,54,50161,42,6,647,191,3882
C224,31,15614,34,3,1141,103,3423
C225,56,73008,50,7,1092,119,7644
C226,21,62568,20,8,2203,182,17624
C227,31,18468,27,8,1706,81,13648
C228,30,25167,43,7,953,72,6671
C229,27,68455,65,13,3973,37,51649
C230,53,57896,56,30,2404,20,72120
C231,22,23387,26,4,1733,49,6932
C232,23,31191,34,11,1686,87,18546
C233,62,111436,74,53,5059,8,268127
C234,60,59691,27,1,1220,219,1220
C235,27,30130,34,2,616,77,1232
C236,37,81835,89,57,7649,8,435993
C237,32,33732,40,5,1158,107,5790
C238,52,39773,13,8,711,177,5688
C239,34,20654,21,5,1396,86,6980
C240,36,59435,54,22,3474,54,76428
C241,56,148366,71,46,5039,6,231794
C242,35,27666,29,6,1734,141,10404
C243,35,40341,63,14,3232,24,45248
C244,28,31104,29,7,1817,174,12719
C245,46,69497,47,30,3534,37,106020
C246,35,117526,79,36,6254,6,225144
C247,32,49693,18,3,658,165,1974
C248,34,32687,43,10,577,114,5770
C249,63,87176,89,49,5763,3,282387
C250,51,45848,68,24,1978,31,47472
C251,56,101133,84,43,8177,4,351611
C252,34,65737,51,21,4136,33,86856
C253,38,70052,42,7,2478,131,17346
C254,50,74627,49,18,2013,46,36234
C255,43,33446,43,2,1083,111,2166
C256,33,64446,61,14,3591,10,50274
C257,51,64565,56,10,3499,8,34990
C258,52,69015,25,7,667,185,4669
C259,25,55885,48,30,3173,55,95190
C260,29,37510,54,25,2368,53,59200
C261,48,20688,15,1,1024,145,1024
C262,42,74903,61,23,2255,54,51865
C263,42,109472,73,28,6453,7,180684
C264,24,34530,41,1,1794,221,1794
C265,47,44409,54,23,1806,44,41538
C266,42,144798,83,36,9942,11,357912
C267,34,26816,22,10,1614,94,16140
C268,30,30405,21,12,1292,77,15504
C269,58,72128,81,29,7324,4,212396
C270,28,19371,21,7,1618,73,11326
C271,51,65449,67,25,4387,16,109675
C272,27,64994,46,19,2625,7,49875
C273,53,37746,55,19,3911,30,74309
C274,36,24799,22,5,1231,102,6155
C275,43,86315,95,48,8079,15,387792
C276,48,70678,31,3,1516,217,4548
C277,64,138062,78,30,7977,2,239310
C278,58,43652,44,5,1157,116,5785
C279,28,24687,29,9,1734,121,15606
C280,30,78183,32,8,586,180,4688
C281,37,27518,14,7,1244,221,8708
C282,55,37040,49,29,3594,7,104226
C283,27,50466,69,30,3300,28,99000
C284,56,24244,48,3,1890,205,5670
C285,46,128188,94,29,9201,3,266829
C286,47,111207,90,42,6544,2,274848
C287,23,31352,36,8,1650,45,13200
C288,59,104116,92,53,6257,10,331621
C289,57,134382,76,32,5611,14,179552
C290,32,20657,42,9,679,133,6111
C291,56,115537,92,29,9005,9,261145
C292,63,109315,97,35,9724,3,340340
C293,51,99391,73,37,5637,4,208569
C294,21,67303,45,6,1457,231,8742
C295,44,40650,47,19,3430,50,65170
C296,53,73843,36,2,756,171,1512
C297,32,30264,41,10,1205,46,12050
C298,49,43456,58,26,2026,58,52676
C299,34,20014,29,4,831,71,3324
C300,36,69006,54,12,2826,17,33912
C301,39,109691,89,59,5265,9,310635
C302,43,73053,49,15,4498,44,67470
C303,61,143874,71,26,5165,1,134290
C304,55,97631,94,51,9563,11,487713
C305,33,32877,29,12,1118,91,13416
C306,50,61613,54,24,2098,49,50352
C307,23,29404,33,9,1451,56,13059
C308,54,88830,80,45,7329,7,329805
C309,49,59283,61,27,2234,25,60318
C310,39,43029,53,24,2815,14,67560
C311,19,24509,32,11,1356,61,14916
C312,51,56458,63,20,2577,53,51540
C313,40,68733,59,25,3063,36,76575
C314,20,27885,36,9,993,57,8937
C315,36,76624,79,56,9394,15,526064
C316,38,21071,16,7,774,157,5418
C317,59,122855,81,27,7781,1,210087
C318,36,71256,54,12,3382,37,40584
C319,55,56663,49,2,763,114,1526
C320,43,64444,45,6,2046,126,12276
C321,44,68365,57,26,1964,7,51064
C322,22,25913,45,9,1563,88,14067
C323,44,68784,49,20,4311,25,86220
C324,37,54610,63,20,3877,58,77540
C325,56,59294,40,1,1254,174,1254
C326,31,34126,29,12,554,106,6648
C327,36,49824,13,8,849,224,6792
C328,29,51745,12,2,890,94,1780
C329,40,74890,19,7,1914,142,13398
C330,52,81814,13,3,1562,143,4686
C331,56,132701,86,49,7070,3,346430
C332,54,64869,44,6,1884,157,11304
C333,32,52311,27,5,960,166,4800
C334,57,97168,92,56,7097,8,397432
C335,52,105842,79,32,9197,11,294304
C336,45,65237,19,5,586,163,2930
C337,29,29495,40,6,1481,57,8886
C338,51,70296,53,27,2912,13,78624
C339,25,22944,21,12,1587,58,19044
C340,26,41566,58,20,3734,11,74680
C341,25,71067,50,23,4474,35,102902
C342,32,57649,30,5,1822,105,9110
C343,25,32535,43,2,858,83,1716
C344,54,37381,57,25,2563,52,64075
C345,63,74910,70,44,9152,10,402688
C346,28,24324,34,12,1612,97,19344
C347,28,86088,39,5,894,118,4470
C348,40,130150,90,41,6025,1,247025
C349,60,108669,88,37,5937,10,219669
C350,47,87538,30,2,1320,114,2640
C351,29,66290,55,17,1827,21,31059
C352,35,78554,27,6,1118,239,6708
C353,26,26781,42,5,627,115,3135
C354,32,25053,25,8,1529,148,12232
C355,57,85389,90,43,7510,10,322930
C356,32,43753,60,14,3663,52,51282
C357,48,141989,99,55,8903,13,489665
C358,49,51217,66,29,2135,38,61915
C359,53,67419,14,2,626,230,1252
C360,43,70170,49,15,3143,59,47145
C361,27,46922,47,8,686,220,5488
C362,23,79432,18,7,1435,234,10045
C363,35,30151,41,6,544,80,3264
C364,61,70395,93,38,9237,2,351006
C365,31,26289,42,3,1608,37,4824
C366,33,16039,29,8,868,128,6944
C367,49,62548,56,22,3637,60,80014
C368,44,30518,44,3,1838,179,5514
C369,23,32604,32,10,760,123,7600
C370,51,35227,69,10,3022,34,30220
C371,54,69712,24,4,1443,178,5772
C372,33,47352,68,13,1931,56,25103
C373,59,22050,25,4,637,115,2548
C374,32,34588,41,2,1001,124,2002
C375,30,29383,27,10,944,126,9440
C376,22,31511,29,5,1679,70,8395
C377,42,109552,98,34,9908,9,336872
C378,38,54693,53,11,4080,42,44880
C379,45,62997,62,25,1992,27,49800
C380,53,61777,36,7,805,166,5635
C381,31,82065,25,4,1115,126,4460
C382,23,74090,36,3,1295,152,3885
C383,41,113288,90,30,8184,14,245520
C384,37,140206,93,37,4922,5,182114
C385,58,25183,14,4,2147,240,8588
C386,40,48689,55,19,1862,18,35378
C387,55,42688,68,25,2793,49,69825
C388,37,50684,62,20,2959,29,59180
C389,54,67088,29,5,1236,221,6180
C390,49,32924,40,6,2372,142,14232
C391,45,124254,71,39,5695,1,222105
C392,52,146550,88,51,6918,3,352818
C393,35,50074,57,28,2806,36,78568
C394,43,134044,100,56,8275,3,463400
C395,40,88344,93,59,8500,3,501500
C396,34,16108,22,12,599,127,7188
C397,31,19505,40,5,639,120,3195
C398,25,49334,61,24,3328,8,79872
C399,51,22061,10,7,524,94,3668
C400,52,107576,70,57,8027,13,457539
C401,28,41312,61,14,2787,17,39018
C402,61,116457,78,50,5147,6,257350
C403,49,51877,24,5,1900,110,9500
C404,20,28280,32,8,1631,90,13048
C405,18,20615,22,9,1388,112,12492
C406,53,82499,98,58,4848,4,281184
C407,53,72144,60,18,1990,9,35820
C408,63,141176,88,27,5969,15,161163
C409,35,97152,88,34,7762,15,263908
C410,27,20323,38,5,1660,136,8300
C411,54,63480,34,3,2118,110,6354
C412,36,82803,83,39,5122,6,199758
C413,40,23883,50,5,2104,205,10520
C414,34,66636,45,7,1384,137,9688
C415,25,58715,25,2,668,158,1336
C416,37,45110,68,22,3097,28,68134
C417,20,15170,29,9,1237,127,11133
C418,38,87367,72,36,8030,8,289080
C419,26,23442,15,6,1635,113,9810
C420,62,120493,70,43,7889,7,339227
C421,35,22954,38,10,847,117,8470
C422,30,38198,27,5,1049,216,5245
C423,27,45958,58,18,3524,24,63432
C424,24,67333,26,4,1976,250,7904
C425,58,45630,39,2,777,167,1554
C426,30,25886,39,8,1174,86,9392
C427,48,147908,74,44,7126,10,313544
C428,40,55590,50,22,3107,23,68354
C429,56,51775,30,7,1074,190,7518
C430,38,143905,76,59,5973,11,352407
C431,32,21869,34,6,641,134,3846
C432,51,38242,50,5,995,154,4975
C433,47,62730,70,22,2102,33,46244
C434,57,72534,44,7,1613,99,11291
C435,57,140373,89,30,5395,13,161850
C436,46,58265,50,30,4309,7,129270
C437,41,76420,16,1,701,156,701
C438,41,68999,62,28,4156,19,116368
C439,43,71266,39,3,1206,96,3618
C440,26,58722,36,2,737,126,1474
C441,44,114966,84,38,8768,8,333184
C442,50,82795,84,53,7112,2,376936
C443,36,85084,70,46,9808,2,451168
C444,54,50985,61,15,4060,15,60900
C445,52,125885,100,54,6399,13,345546
C446,60,44176,21,7,1310,97,9170
C447,39,73810,58,22,1818,50,39996
C448,31,53241,69,12,4164,11,49968
C449,36,56363,51,24,2266,21,54384
C450,53,61078,48,7,1751,190,12257
C451,29,26533,34,11,853,134,9383
C452,64,147354,72,33,7065,2,233145
C453,34,42664,50,21,2379,37,49959
C454,46,38070,46,7,1366,137,9562
C455,60,42706,45,3,1502,163,4506
C456,30,55616,59,29,2019,60,58551
C457,65,71256,85,33,6098,14,201234
C458,55,86248,41,7,1902,215,13314
C459,48,84054,20,2,1657,97,3314
C460,34,37142,53,17,4002,23,68034
C461,49,64971,63,25,4051,37,101275
C462,21,23778,44,10,1251,99,12510
C463,32,32902,26,8,709,124,5672
C464,34,37112,59,18,3227,60,58086
C465,32,18846,44,5,929,133,4645
C466,62,149988,90,52,5859,10,304668
C467,50,48541,51,11,4135,27,45485
C468,54,140617,75,45,6897,5,310365
C469,65,137425,98,31,5610,13,173910
C470,23,56349,18,3,1011,127,3033
C471,61,102447,94,50,8509,3,425450
C472,55,124293,82,53,5118,11,271254
C473,30,31895,43,6,1255,88,7530
C474,40,20324,15,8,1800,181,14400
C475,35,28032,26,8,933,93,7464
C476,45,107171,80,60,9234,3,554040
C477,41,26345,12,2,1782,207,3564
C478,21,20176,34,9,501,84,4509
C479,47,43645,65,19,2451,60,46569
C480,37,117242,78,30,7546,11,226380
C481,26,60974,65,19,2759,32,52421
C482,21,15035,26,9,659,46,5931
C483,41,64167,45,10,3207,57,32070
C484,31,19331,35,3,968,79,2904
C485,21,18381,30,7,1112,47,7784
C486,28,38724,14,1,1749,132,1749
C487,42,47925,50,3,2383,195,7149
C488,33,31362,16,3,2041,121,6123
C489,42,76280,30,3,1007,160,3021
C490,25,33133,39,11,1744,66,19184
C491,27,21732,36,11,1543,54,16973
C492,38,27152,25,8,1290,118,10320
C493,40,73923,47,26,1849,28,48074
C494,39,120703,97,51,7493,9,382143
C495,49,65868,69,12,1868,42,22416
C496,18,23591,26,2,623,131,1246
C497,52,57550,50,7,1367,192,9569
C498,35,32617,39,4,1068,40,4272
C499,37,137017,99,38,5772,9,219336
C500,47,146865,90,29,7040,12,204160
